game_id,season,week,position,player_id,player_name_pred,team,opponent,predicted_median,predicted_expected,predicted_p75,player_name_actual,actual_yards,error,abs_error,pct_error,within_median_p75,confidence,confidence_bin
2025_06_LA_BAL,2025,6,WR,00-0039075,Puka Nacua,LA,BAL,172.0,175.9,198.4,P.Nacua,28.0,-147.9,147.9,-510.0,False,0.1534883720930233,High
2025_06_SEA_JAX,2025,6,WR,00-0038543,Jaxon Smith-Njigba,SEA,JAX,104.9,108.0,123.5,J.Smith-Njigba,162.0,54.0,54.0,33.12883435582822,False,0.17731172545281212,High
2025_06_LA_BAL,2025,6,WR,00-0039064,Zay Flowers,BAL,LA,67.5,106.5,128.5,Z.Flowers,46.0,-60.5,60.5,-128.72340425531914,False,0.9037037037037037,Low
2025_06_DAL_CAR,2025,6,WR,00-0040124,Tetairoa McMillan,CAR,DAL,97.0,100.0,114.5,T.McMillan,29.0,-71.0,71.0,-236.66666666666666,False,0.18041237113402062,High
2025_06_LA_BAL,2025,6,WR,00-0031381,Davante Adams,LA,BAL,90.1,95.7,113.9,D.Adams,39.0,-56.7,56.7,-141.75,False,0.2641509433962266,High
2025_06_ARI_IND,2025,6,WR,00-0037664,Alec Pierce,IND,ARI,80.9,93.2,115.7,A.Pierce,48.0,-45.2,45.2,-92.24489795918367,False,0.4301606922126081,Medium
2025_06_CHI_WAS,2025,6,WR,00-0039919,Rome Odunze,CHI,WAS,80.8,90.0,110.5,R.Odunze,32.0,-58.0,58.0,-175.75757575757575,False,0.3675742574257426,Medium
2025_06_CIN_GB,2025,6,WR,00-0036900,Ja'Marr Chase,CIN,GB,53.7,84.1,101.7,J.Chase,94.0,9.900000000000006,9.900000000000006,10.421052631578954,True,0.8938547486033519,Low
2025_06_ARI_IND,2025,6,WR,00-0036252,Michael Pittman,IND,ARI,80.6,82.5,93.3,M.Pittman,20.0,-62.5,62.5,-297.6190476190476,False,0.15756823821339955,High
2025_06_DET_KC,2025,6,WR,00-0036963,Amon-Ra St. Brown,DET,KC,69.8,79.7,98.8,A.St. Brown,48.0,-31.700000000000003,31.700000000000003,-64.69387755102042,False,0.4154727793696275,Medium
2025_06_PHI_NYG,2025,6,WR,00-0038117,Wan'Dale Robinson,NYG,PHI,45.7,71.7,86.7,W.Robinson,84.0,12.299999999999997,12.299999999999997,14.470588235294114,True,0.8971553610503282,Low
2025_06_DEN_NYJ,2025,6,WR,00-0034348,Courtland Sutton,DEN,NYJ,43.8,71.5,85.4,C.Sutton,17.0,-54.5,54.5,-302.77777777777777,False,0.9497716894977172,Low
2025_06_DAL_CAR,2025,6,WR,00-0037247,George Pickens,DAL,CAR,60.0,71.3,89.2,G.Pickens,168.0,96.7,96.7,57.218934911242606,False,0.4866666666666667,Medium
2025_06_DEN_NYJ,2025,6,WR,00-0037740,Garrett Wilson,NYJ,DEN,68.9,70.5,79.7,G.Wilson,13.0,-57.5,57.5,-410.7142857142857,False,0.15674891146589254,High
2025_06_DET_KC,2025,6,WR,00-0039894,Xavier Worthy,KC,DET,68.6,68.6,68.6,X.Worthy,20.0,-48.599999999999994,48.599999999999994,-231.4285714285714,False,0.0,
2025_06_CHI_WAS,2025,6,WR,00-0035719,Deebo Samuel Sr.,WAS,CHI,42.6,65.8,79.9,D.Samuel,15.0,-50.8,50.8,-317.5,False,0.875586854460094,Low
2025_06_TEN_LV,2025,6,WR,00-0034960,Jakobi Meyers,LV,TEN,57.7,64.5,79.4,J.Meyers,39.0,-25.5,25.5,-63.75,False,0.3760831889081456,Medium
2025_06_SF_TB,2025,6,WR,00-0040129,Emeka Egbuka,TB,SF,51.0,60.3,75.3,E.Egbuka,24.0,-36.3,36.3,-145.2,False,0.47647058823529403,Medium
2025_06_DEN_NYJ,2025,6,WR,00-0039868,Troy Franklin,DEN,NYJ,36.7,59.9,71.6,T.Franklin,19.0,-40.9,40.9,-204.5,False,0.9509536784741142,Low
2025_06_CLE_PIT,2025,6,WR,00-0035640,DK Metcalf,PIT,CLE,36.4,58.9,70.5,D.Metcalf,95.0,36.1,36.1,37.604166666666664,False,0.9368131868131869,Low
2025_06_DET_KC,2025,6,WR,00-0037240,Jameson Williams,DET,KC,43.7,57.6,72.1,J.Williams,66.0,8.399999999999999,8.399999999999999,12.53731343283582,True,0.6498855835240273,Low
2025_06_BUF_ATL,2025,6,WR,00-0037238,Drake London,ATL,BUF,40.9,42.2,48.6,D.London,158.0,115.8,115.8,72.83018867924528,False,0.18826405867970666,High
